Adawaty Master Tools Database v1.0
Part 1 — PDF Tools (001–100)

Category: PDF


| #   | English               | Arabic                | Slug                  |
| 079 | Subtitle Editor    | محرر الترجمة             | subtitle-editor    |
| 080 | Auto Subtitle AI   | ترجمة تلقائية            | auto-subtitle      |

📐 Resolution


| #   | English                | العربية          | Slug            |
| --- | ---------------------- | ---------------- | --------------- |
| 081 | 720p Converter         | 720P             | 720p            |
| 082 | 1080p Converter        | 1080P            | 1080p           |
| 083 | 2K Converter           | 2K               | 2k              |
| 084 | 4K Converter           | 4K               | 4k              |
| 085 | 8K Converter           | 8K               | 8k              |
| 086 | Upscale Video AI       | تكبير الفيديو    | upscale-video   |
| 087 | Downscale Video        | تقليل الدقة      | downscale-video |
| 088 | Aspect Ratio Converter | تغيير نسبة العرض | aspect-ratio    |
| 089 | Portrait Converter     | تحويل رأسي       | portrait-video  |
| 090 | Landscape Converter    | تحويل أفقي       | landscape-video |


🔍 Metadata

| #   | English               | العربية         | Slug                  |
| --- | --------------------- | --------------- | --------------------- |
| 091 | Video Metadata Viewer | عرض Metadata    | video-metadata        |
| 092 | Remove Metadata       | إزالة Metadata  | remove-video-metadata |
| 093 | Codec Viewer          | عرض Codec       | codec-viewer          |
| 094 | Bitrate Viewer        | عرض Bitrate     | bitrate-viewer        |
| 095 | FPS Viewer            | عرض FPS         | fps-viewer            |
| 096 | Duration Viewer       | عرض المدة       | duration-viewer       |
| 097 | Resolution Viewer     | عرض الدقة       | resolution-viewer     |
| 098 | Color Space Viewer    | عرض Color Space | color-space           |
| 099 | HDR Detector          | كشف HDR         | hdr-detector          |
| 100 | Video Inspector       | فحص الفيديو     | video-inspector       |


⭐ Pro Video Tools

ويضم أدوات مثل:

Silence Remover
Scene Detection
Shot Detection
Object Tracking
Face Tracking
Auto Reframe
Motion Blur
Video Stabilizer AI
Background Removal AI
Green Screen Removal
Lip Sync AI
Eye Contact AI
Noise Reduction AI
Video Colorizer
HDR Converter
AI Upscaler ×16
AI Frame Interpolation (24→60 FPS)
AI Video Restoration
AI Old Film Repair
AI Super Resolution

🤖 AI Video Enhancement

| #   | English                | العربية                         | Slug                |
| --- | ---------------------- | ------------------------------- | ------------------- |
| 101 | AI Video Enhancer      | تحسين الفيديو بالذكاء الاصطناعي | ai-video-enhancer   |
| 102 | AI Video Upscaler      | تكبير الفيديو بالذكاء الاصطناعي | ai-video-upscaler   |
| 103 | AI Video Restorer      | ترميم الفيديو                   | ai-video-restorer   |
| 104 | AI Color Correction    | تصحيح الألوان                   | ai-color-correction |
| 105 | AI Colorizer           | تلوين الفيديو الأبيض والأسود    | ai-video-colorizer  |
| 106 | AI Denoise Video       | إزالة التشويش                   | ai-video-denoise    |
| 107 | AI Deblur Video        | إزالة الضبابية                  | ai-video-deblur     |
| 108 | AI Sharpen Video       | زيادة الحدة                     | ai-video-sharpen    |
| 109 | AI Frame Interpolation | زيادة عدد الإطارات              | frame-interpolation |
| 110 | AI Motion Smoothing    | تنعيم الحركة                    | motion-smoothing    |


🎥 AI Editing

| #   | English              | العربية               | Slug                     |
| --- | -------------------- | --------------------- | ------------------------ |
| 111 | Remove Background    | إزالة خلفية الفيديو   | video-background-remover |
| 112 | Replace Background   | استبدال الخلفية       | replace-video-background |
| 113 | Green Screen Remover | إزالة Green Screen    | green-screen             |
| 114 | Object Remover       | إزالة عنصر            | remove-object-video      |
| 115 | Person Remover       | إزالة شخص             | remove-person-video      |
| 116 | Logo Remover         | إزالة شعار            | remove-logo-video        |
| 117 | Text Remover         | إزالة النصوص          | remove-text-video        |
| 118 | Watermark Remover    | إزالة العلامة المائية | remove-watermark-video   |
| 119 | Sky Replacement      | استبدال السماء        | replace-sky-video        |
| 120 | Auto Reframe         | إعادة تأطير تلقائية   | auto-reframe             |

😀 Face AI

| #   | English            | العربية            | Slug                  |
| --- | ------------------ | ------------------ | --------------------- |
| 121 | Face Tracking      | تتبع الوجه         | face-tracking         |
| 122 | Object Tracking    | تتبع عنصر          | object-tracking       |
| 123 | Eye Contact AI     | تصحيح اتجاه العين  | eye-contact           |
| 124 | Face Blur          | طمس الوجه          | blur-face             |
| 125 | Face Pixelate      | تشويش الوجه        | pixelate-face         |
| 126 | Face Swap Video    | تبديل الوجوه       | face-swap-video       |
| 127 | Multiple Face Swap | تبديل عدة وجوه     | multi-face-swap-video |
| 128 | Avatar Generator   | إنشاء أفاتار متحرك | avatar-video          |
| 129 | Talking Avatar     | أفاتار يتحدث       | talking-avatar        |
| 130 | Lip Sync AI        | مزامنة حركة الشفاه | lip-sync-ai           |


📝 Captions & Translation

| #   | English               | العربية                | Slug                |
| --- | --------------------- | ---------------------- | ------------------- |
| 131 | Speech to Subtitle    | تحويل الكلام إلى ترجمة | speech-to-subtitle  |
| 132 | AI Caption Generator  | إنشاء Captions         | caption-generator   |
| 133 | Auto Translate Video  | ترجمة الفيديو          | translate-video     |
| 134 | Voice Translation     | ترجمة الصوت            | voice-translation   |
| 135 | Subtitle Translator   | ترجمة ملفات الترجمة    | subtitle-translator |
| 136 | Subtitle Styling      | تنسيق الترجمة          | subtitle-style      |
| 137 | Animated Captions     | ترجمة متحركة           | animated-captions   |
| 138 | Word by Word Captions | ترجمة كلمة بكلمة       | word-captions       |
| 139 | Karaoke Subtitle      | ترجمة كاريوكي          | karaoke-subtitles   |
| 140 | Subtitle Preview      | معاينة الترجمة         | subtitle-preview    |


📺 YouTube Tools

| #   | English                      | العربية           | Slug                        |
| --- | ---------------------------- | ----------------- | --------------------------- |
| 141 | YouTube Thumbnail Extractor  | استخراج Thumbnail | youtube-thumbnail-extractor |
| 142 | YouTube Thumbnail Downloader | تحميل Thumbnail   | thumbnail-downloader        |
| 143 | YouTube Shorts Converter     | تحويل إلى Shorts  | youtube-shorts              |
| 144 | YouTube Intro Maker          | مقدمة يوتيوب      | youtube-intro               |
| 145 | YouTube Outro Maker          | خاتمة يوتيوب      | youtube-outro               |
| 146 | YouTube Banner Creator       | بانر يوتيوب       | youtube-banner-maker        |
| 147 | YouTube Safe Area            | منطقة الأمان      | youtube-safe-area           |
| 148 | YouTube Loop Creator         | فيديو Loop        | youtube-loop                |
| 149 | YouTube Clip Maker           | قص مقطع           | youtube-clips               |
| 150 | YouTube Chapter Generator    | إنشاء Chapters    | youtube-chapters            |


📱 Social Media

| #   | English                   | العربية           | Slug                    |
| --- | ------------------------- | ----------------- | ----------------------- |
| 151 | TikTok Video Resizer      | تحويل لـ TikTok   | tiktok-resizer          |
| 152 | Instagram Reel Converter  | تحويل لـ Reels    | instagram-reel          |
| 153 | Instagram Story Converter | تحويل لـ Story    | instagram-story-video   |
| 154 | Facebook Video Optimizer  | تهيئة لفيسبوك     | facebook-video          |
| 155 | Twitter Video Converter   | تحويل لـ X        | twitter-video           |
| 156 | LinkedIn Video Optimizer  | تهيئة لـ LinkedIn | linkedin-video          |
| 157 | Pinterest Video           | فيديو Pinterest   | pinterest-video         |
| 158 | Snapchat Video            | فيديو Snapchat    | snapchat-video          |
| 159 | WhatsApp Status Maker     | حالة واتساب       | whatsapp-status         |
| 160 | Discord Video Optimizer   | تهيئة Discord     | discord-video-optimizer |


🎞 Animation

| #   | English                | العربية            | Slug                |
| --- | ---------------------- | ------------------ | ------------------- |
| 161 | GIF Creator            | إنشاء GIF          | gif-creator         |
| 162 | GIF Optimizer          | تحسين GIF          | gif-optimizer       |
| 163 | GIF Compressor         | ضغط GIF            | gif-compressor      |
| 164 | GIF Cropper            | قص GIF             | gif-cropper         |
| 165 | GIF Speed Changer      | تغيير سرعة GIF     | gif-speed           |
| 166 | GIF Reverse            | عكس GIF            | gif-reverse         |
| 167 | GIF Splitter           | تقسيم GIF          | gif-splitter        |
| 168 | GIF Frame Extractor    | استخراج الإطارات   | gif-frame-extractor |
| 169 | Animated WEBP Creator  | WEBP متحرك         | animated-webp       |
| 170 | Sprite Sheet Generator | إنشاء Sprite Sheet | sprite-sheet        |


🛠 Batch Processing
.
| #   | English                 | العربية                | Slug                   |
| --- | ----------------------- | ---------------------- | ---------------------- |
| 171 | Batch Convert Videos    | تحويل جماعي            | batch-video-converter  |
| 172 | Batch Compress Videos   | ضغط جماعي              | batch-video-compressor |
| 173 | Batch Watermark Videos  | علامة مائية جماعية     | batch-video-watermark  |
| 174 | Batch Rotate Videos     | تدوير جماعي            | batch-video-rotate     |
| 175 | Batch Rename Videos     | إعادة تسمية جماعية     | batch-video-rename     |
| 176 | Batch Extract Audio     | استخراج الصوت جماعيًا  | batch-extract-audio    |
| 177 | Batch Subtitle          | إضافة ترجمة جماعية     | batch-subtitle         |
| 178 | Batch Metadata Cleaner  | تنظيف Metadata جماعيًا | batch-video-metadata   |
| 179 | Batch Thumbnail Creator | إنشاء Thumbnails       | batch-thumbnail        |
| 180 | Batch Frame Extractor   | استخراج إطارات جماعيًا | batch-frame-extractor  |


📊 Analysis

| #   | English                   | العربية              | Slug             |
| --- | ------------------------- | -------------------- | ---------------- |
| 181 | Scene Detection           | اكتشاف المشاهد       | scene-detection  |
| 182 | Shot Detection            | اكتشاف اللقطات       | shot-detection   |
| 183 | Black Frame Detection     | كشف الشاشات السوداء  | black-frame      |
| 184 | Duplicate Frame Detection | كشف الإطارات المكررة | duplicate-frame  |
| 185 | Freeze Frame Detector     | كشف التجميد          | freeze-frame     |
| 186 | Video Quality Analyzer    | تحليل الجودة         | video-quality    |
| 187 | Loudness Analyzer         | تحليل مستوى الصوت    | video-loudness   |
| 188 | Bitrate Analyzer          | تحليل الـ Bitrate    | bitrate-analysis |
| 189 | Codec Analyzer            | تحليل Codec          | codec-analysis   |
| 190 | HDR Analyzer              | تحليل HDR            | hdr-analysis     |


📦 Utilities

| #   | English                   | العربية                | Slug                      |
| --- | ------------------------- | ---------------------- | ------------------------- |
| 191 | Repair Video              | إصلاح الفيديو          | repair-video              |
| 192 | Recover Corrupted Video   | استعادة الفيديو التالف | recover-video             |
| 193 | Video Validator           | فحص سلامة الفيديو      | video-validator           |
| 194 | Metadata Cleaner          | تنظيف Metadata         | video-metadata-cleaner    |
| 195 | Video File Inspector      | فحص الملف              | video-inspector-pro       |
| 196 | Merge Audio & Video       | دمج صوت مع فيديو       | merge-audio-video         |
| 197 | Video Toolkit             | مجموعة أدوات الفيديو   | video-toolkit             |
| 198 | Smart Export              | تصدير ذكي              | smart-export              |
| 199 | Video Presets             | إعدادات جاهزة          | video-presets             |
| 200 | Universal Video Processor | معالج الفيديو الشامل   | universal-video-processor |


Adawaty Master Tools Database v1.0
Part 7 — Audio Tools (001–100)

Category: Audio

🎵 Audio Conversion

| #   | English                   | العربية       | Slug            |
| --- | ------------------------- | ------------- | --------------- |
| 001 | Audio Converter           | محول الصوت    | audio-converter |
| 002 | MP3 to WAV                | MP3 إلى WAV   | mp3-to-wav      |
| 003 | WAV to MP3                | WAV إلى MP3   | wav-to-mp3      |
| 004 | MP3 to AAC                | MP3 إلى AAC   | mp3-to-aac      |
| 005 | AAC to MP3                | AAC إلى MP3   | aac-to-mp3      |
| 006 | MP3 to FLAC               | MP3 إلى FLAC  | mp3-to-flac     |
| 007 | FLAC to MP3               | FLAC إلى MP3  | flac-to-mp3     |
| 008 | MP3 to OGG                | MP3 إلى OGG   | mp3-to-ogg      |
| 009 | OGG to MP3                | OGG إلى MP3   | ogg-to-mp3      |
| 010 | MP3 to M4A                | MP3 إلى M4A   | mp3-to-m4a      |
| 011 | M4A to MP3                | M4A إلى MP3   | m4a-to-mp3      |
| 012 | WAV to FLAC               | WAV إلى FLAC  | wav-to-flac     |
| 013 | FLAC to WAV               | FLAC إلى WAV  | flac-to-wav     |
| 014 | AIFF to MP3               | AIFF إلى MP3  | aiff-to-mp3     |
| 015 | MP3 to AIFF               | MP3 إلى AIFF  | mp3-to-aiff     |
| 016 | Opus to MP3               | Opus إلى MP3  | opus-to-mp3     |
| 017 | MP3 to Opus               | MP3 إلى Opus  | mp3-to-opus     |
| 018 | AMR to MP3                | AMR إلى MP3   | amr-to-mp3      |
| 019 | MP3 to AMR                | MP3 إلى AMR   | mp3-to-amr      |
| 020 | Universal Audio Converter | محول صوت شامل | universal-audio |


📦 Audio Compression

| #   | English                 | العربية           | Slug                 |
| --- | ----------------------- | ----------------- | -------------------- |
| 021 | Compress Audio          | ضغط الصوت         | compress-audio       |
| 022 | Lossless Compression    | ضغط بدون فقدان    | lossless-audio       |
| 023 | Reduce Bitrate          | تقليل Bitrate     | reduce-bitrate       |
| 024 | Mono Converter          | تحويل إلى Mono    | mono-audio           |
| 025 | Stereo Converter        | تحويل إلى Stereo  | stereo-audio         |
| 026 | Sample Rate Converter   | تغيير Sample Rate | sample-rate          |
| 027 | Optimize Audio          | تحسين الحجم       | optimize-audio       |
| 028 | Compress for WhatsApp   | ضغط لواتساب       | whatsapp-audio       |
| 029 | Compress for Telegram   | ضغط لتيليجرام     | telegram-audio       |
| 030 | Batch Audio Compression | ضغط جماعي         | batch-audio-compress |


✂ Editing

| #   | English         | العربية     | Slug           |
| --- | --------------- | ----------- | -------------- |
| 031 | Trim Audio      | قص الصوت    | trim-audio     |
| 032 | Split Audio     | تقسيم الصوت | split-audio    |
| 033 | Merge Audio     | دمج الصوت   | merge-audio    |
| 034 | Cut Audio       | حذف جزء     | cut-audio      |
| 035 | Reverse Audio   | عكس الصوت   | reverse-audio  |
| 036 | Loop Audio      | تكرار الصوت | loop-audio     |
| 037 | Speed Up Audio  | تسريع الصوت | speed-up-audio |
| 038 | Slow Down Audio | إبطاء الصوت | slow-audio     |
| 039 | Fade In         | Fade In     | fade-in        |
| 040 | Fade Out        | Fade Out    | fade-out       |


🔊 Volume

| #   | English            | العربية           | Slug               |
| --- | ------------------ | ----------------- | ------------------ |
| 041 | Increase Volume    | رفع الصوت         | increase-volume    |
| 042 | Decrease Volume    | خفض الصوت         | decrease-volume    |
| 043 | Normalize Audio    | توحيد مستوى الصوت | normalize-audio    |
| 044 | Volume Booster     | تقوية الصوت       | volume-booster     |
| 045 | Volume Limiter     | محدد مستوى الصوت  | volume-limiter     |
| 046 | Peak Normalization | تطبيع الذروة      | peak-normalization |
| 047 | LUFS Normalizer    | توحيد LUFS        | lufs-normalizer    |
| 048 | Stereo Balance     | توازن Stereo      | stereo-balance     |
| 049 | Left Channel Only  | القناة اليسرى     | left-channel       |
| 050 | Right Channel Only | القناة اليمنى     | right-channel      |

🎙 Recording

| #   | English               | العربية           | Slug               |
| --- | --------------------- | ----------------- | ------------------ |
| 051 | Voice Recorder        | مسجل صوت          | voice-recorder     |
| 052 | Browser Recorder      | تسجيل من المتصفح  | browser-recorder   |
| 053 | Mic Test              | اختبار الميكروفون | microphone-test    |
| 054 | Mic Gain Test         | اختبار الحساسية   | mic-gain           |
| 055 | Noise Test            | اختبار الضوضاء    | noise-test         |
| 056 | Silence Detector      | كشف الصمت         | silence-detector   |
| 057 | Audio Level Meter     | قياس مستوى الصوت  | audio-meter        |
| 058 | Audio Waveform Viewer | عرض Waveform      | waveform-viewer    |
| 059 | Spectrum Analyzer     | تحليل Spectrum    | spectrum-analyzer  |
| 060 | Frequency Analyzer    | تحليل الترددات    | frequency-analyzer |

🎚 Filters

| #   | English          | العربية       | Slug                 |
| --- | ---------------- | ------------- | -------------------- |
| 071 | Equalizer        | معادل الصوت   | equalizer            |
| 072 | Bass Booster     | تقوية Bass    | bass-booster         |
| 073 | Treble Booster   | تقوية Treble  | treble-booster       |
| 074 | Low Pass Filter  | Low Pass      | low-pass             |
| 075 | High Pass Filter | High Pass     | high-pass            |
| 076 | Band Pass Filter | Band Pass     | band-pass            |
| 077 | Noise Gate       | بوابة الضوضاء | noise-gate           |
| 078 | Limiter          | Limiter       | limiter              |
| 079 | Compressor       | Compressor    | audio-compressor-pro |
| 080 | Expander         | Expander      | expander             |

📊 Metadata

| #   | English            | العربية             | Slug                  |
| --- | ------------------ | ------------------- | --------------------- |
| 081 | View Metadata      | عرض Metadata        | audio-metadata        |
| 082 | Edit Metadata      | تعديل Metadata      | edit-audio-metadata   |
| 083 | Remove Metadata    | حذف Metadata        | remove-audio-metadata |
| 084 | Album Art Editor   | تعديل الغلاف        | album-art             |
| 085 | Lyrics Editor      | تعديل كلمات الأغنية | lyrics-editor         |
| 086 | Bitrate Viewer     | عرض Bitrate         | audio-bitrate         |
| 087 | Codec Viewer       | عرض Codec           | audio-codec           |
| 088 | Duration Viewer    | عرض المدة           | audio-duration        |
| 089 | Channel Viewer     | عرض القنوات         | audio-channel         |
| 090 | Sample Rate Viewer | عرض Sample Rate     | sample-rate-viewer    |

🛠 Utilities

| #   | English                   | العربية            | Slug                      |
| --- | ------------------------- | ------------------ | ------------------------- |
| 091 | Repair Audio              | إصلاح الصوت        | repair-audio              |
| 092 | Recover Audio             | استعادة الصوت      | recover-audio             |
| 093 | Audio Validator           | التحقق من الملف    | audio-validator           |
| 094 | Batch Converter           | تحويل جماعي        | batch-audio-converter     |
| 095 | Batch Rename              | إعادة تسمية جماعية | batch-audio-rename        |
| 096 | Batch Compressor          | ضغط جماعي          | batch-audio-compressor    |
| 097 | Batch Metadata Cleaner    | تنظيف Metadata     | batch-audio-metadata      |
| 098 | Batch Normalize           | توحيد مستوى الصوت  | batch-normalize           |
| 099 | Audio Toolkit             | مجموعة أدوات الصوت | audio-toolkit             |
| 100 | Universal Audio Processor | معالج صوت شامل     | universal-audio-processor |

awaty Master Tools Database v1.0
Part 8 — Audio Tools (101–200)

Category: Audio AI

🤖 AI Voice Enhancement

| #   | English                | العربية                            | Slug              |
| --- | ---------------------- | ---------------------------------- | ----------------- |
| 101 | AI Voice Enhancer      | تحسين جودة الصوت بالذكاء الاصطناعي | ai-voice-enhancer |
| 102 | AI Speech Cleaner      | تنظيف الكلام                       | ai-speech-cleaner |
| 103 | AI Noise Remover       | إزالة الضوضاء                      | ai-noise-remover  |
| 104 | AI Echo Remover        | إزالة الصدى                        | ai-echo-remover   |
| 105 | AI Reverb Remover      | إزالة Reverb                       | ai-reverb-remover |
| 106 | AI Hum Remover         | إزالة صوت الكهرباء                 | ai-hum-remover    |
| 107 | AI Click Remover       | إزالة Clicks                       | ai-click-remover  |
| 108 | AI Pop Remover         | إزالة Pop                          | ai-pop-remover    |
| 109 | AI Breath Remover      | إزالة صوت التنفس                   | ai-breath-remover |
| 110 | AI Mouth Click Cleaner | إزالة أصوات الفم                   | ai-mouth-click    |

🎙 Podcast Tools

| #   | English                   | العربية                | Slug               |
| --- | ------------------------- | ---------------------- | ------------------ |
| 111 | Podcast Cleaner           | تنظيف البودكاست        | podcast-cleaner    |
| 112 | Podcast Mastering         | Mastering للبودكاست    | podcast-mastering  |
| 113 | Podcast Loudness Fix      | ضبط مستوى الصوت        | podcast-loudness   |
| 114 | Podcast Intro Maker       | إنشاء مقدمة            | podcast-intro      |
| 115 | Podcast Outro Maker       | إنشاء خاتمة            | podcast-outro      |
| 116 | Podcast Chapter Generator | إنشاء Chapters         | podcast-chapters   |
| 117 | Podcast Highlights        | استخراج المقاطع المهمة | podcast-highlights |
| 118 | Podcast Summary           | تلخيص الحلقة           | podcast-summary    |
| 119 | Podcast Transcript        | تفريغ الحلقة           | podcast-transcript |
| 120 | Podcast Clip Generator    | إنشاء Shorts           | podcast-clips      |

🎼 Source Separation

| #   | English              | العربية        | Slug                 |
| --- | -------------------- | -------------- | -------------------- |
| 121 | Vocal Remover        | إزالة الغناء   | vocal-remover        |
| 122 | Music Remover        | إزالة الموسيقى | music-remover        |
| 123 | Instrument Separator | فصل الآلات     | instrument-separator |
| 124 | Drum Separator       | فصل الطبول     | drum-separator       |
| 125 | Bass Separator       | فصل Bass       | bass-separator       |
| 126 | Piano Separator      | فصل Piano      | piano-separator      |
| 127 | Guitar Separator     | فصل Guitar     | guitar-separator     |
| 128 | Strings Separator    | فصل Strings    | strings-separator    |
| 129 | Voice Isolation      | عزل الصوت      | voice-isolation      |
| 130 | Karaoke Maker        | إنشاء Karaoke  | karaoke-maker        |

🗣 Speech to Text

| #   | English                 | العربية             | Slug                    |
| --- | ----------------------- | ------------------- | ----------------------- |
| 131 | Speech to Text          | تحويل الكلام إلى نص | speech-to-text          |
| 132 | Arabic Speech to Text   | تحويل عربي          | arabic-stt              |
| 133 | English Speech to Text  | تحويل إنجليزي       | english-stt             |
| 134 | Multi-language STT      | تحويل متعدد اللغات  | multi-stt               |
| 135 | Meeting Transcription   | تفريغ الاجتماعات    | meeting-transcription   |
| 136 | Interview Transcription | تفريغ المقابلات     | interview-transcription |
| 137 | Lecture Transcription   | تفريغ المحاضرات     | lecture-transcription   |
| 138 | Call Transcription      | تفريغ المكالمات     | call-transcription      |
| 139 | Timestamp Transcription | تفريغ مع توقيت      | timestamp-transcript    |
| 140 | Speaker Identification  | تمييز المتحدثين     | speaker-identification  |


🗣 Text to Speech

| #   | English                | العربية            | Slug                  |
| --- | ---------------------- | ------------------ | --------------------- |
| 141 | Text to Speech         | تحويل النص إلى صوت | text-to-speech        |
| 142 | Arabic TTS             | صوت عربي           | arabic-tts            |
| 143 | English TTS            | صوت إنجليزي        | english-tts           |
| 144 | AI Voice Generator     | مولد أصوات AI      | ai-voice-generator    |
| 145 | Voice Cloning          | استنساخ الصوت      | voice-cloning         |
| 146 | Emotional Voice        | صوت مع مشاعر       | emotional-voice       |
| 147 | Narrator Voice         | صوت راوي           | narrator-voice        |
| 148 | Podcast Voice          | صوت بودكاست        | podcast-voice         |
| 149 | Audiobook Voice        | صوت كتاب           | audiobook-voice       |
| 150 | Celebrity Style Voice* | صوت بأسلوب مشهور*  | celebrity-style-voice |


🌍 Translation

| #   | English               | العربية             | Slug                |
| --- | --------------------- | ------------------- | ------------------- |
| 151 | Audio Translator      | ترجمة الصوت         | audio-translator    |
| 152 | Voice Translator      | ترجمة الصوت المباشر | voice-translator    |
| 153 | Dub Video Audio       | دبلجة الصوت         | dub-audio           |
| 154 | Translate Podcast     | ترجمة بودكاست       | translate-podcast   |
| 155 | Translate Lecture     | ترجمة محاضرة        | translate-lecture   |
| 156 | Translate Meeting     | ترجمة اجتماع        | translate-meeting   |
| 157 | Translate Interview   | ترجمة مقابلة        | translate-interview |
| 158 | Subtitle Generator    | إنشاء ترجمة         | subtitle-generator  |
| 159 | Subtitle Translator   | ترجمة الترجمة       | subtitle-translator |
| 160 | Subtitle Synchronizer | مزامنة الترجمة      | subtitle-sync       |


📊 AI Analysis

| #   | English                 | العربية                   | Slug               |
| --- | ----------------------- | ------------------------- | ------------------ |
| 161 | Language Detection      | كشف اللغة                 | language-detection |
| 162 | Emotion Detection       | تحليل المشاعر             | emotion-detection  |
| 163 | Sentiment Analysis      | تحليل الانطباع            | sentiment-analysis |
| 164 | Keyword Extractor       | استخراج الكلمات المفتاحية | keyword-extractor  |
| 165 | Topic Detection         | كشف الموضوع               | topic-detection    |
| 166 | Silence Detector        | كشف الصمت                 | silence-ai         |
| 167 | Filler Word Detector    | كشف الكلمات الزائدة       | filler-detector    |
| 168 | Speaking Speed Analyzer | تحليل سرعة الكلام         | speech-speed       |
| 169 | Voice Gender Detection  | تحليل نوع الصوت           | voice-gender       |
| 170 | Accent Detection        | كشف اللهجة                | accent-detector    |


🎧 Audio Repair

| #   | English                 | العربية                     | Slug                   |
| --- | ----------------------- | --------------------------- | ---------------------- |
| 171 | Restore Old Audio       | ترميم التسجيلات القديمة     | restore-old-audio      |
| 172 | Cassette Cleaner        | تنظيف أشرطة الكاسيت         | cassette-cleaner       |
| 173 | Vinyl Cleaner           | تنظيف تسجيلات Vinyl         | vinyl-cleaner          |
| 174 | Tape Hiss Remover       | إزالة Hiss                  | tape-hiss              |
| 175 | Audio Declipper         | إصلاح Clipping              | audio-declip           |
| 176 | Repair Distortion       | إصلاح التشويه               | repair-distortion      |
| 177 | Repair Dropped Samples  | إصلاح العينات المفقودة      | repair-samples         |
| 178 | Repair Broken Recording | إصلاح التسجيل               | repair-recording       |
| 179 | Audio Super Resolution  | رفع جودة التسجيل            | audio-super-resolution |
| 180 | AI Mastering            | Mastering بالذكاء الاصطناعي | ai-mastering           |


🛠 Utilities

| #   | English                    | العربية                | Slug                    |
| --- | -------------------------- | ---------------------- | ----------------------- |
| 181 | Batch Speech to Text       | تفريغ جماعي            | batch-stt               |
| 182 | Batch Translation          | ترجمة جماعية           | batch-audio-translation |
| 183 | Batch Voice Enhancement    | تحسين جماعي            | batch-voice-enhancement |
| 184 | Batch Source Separation    | فصل جماعي              | batch-separation        |
| 185 | Audio Dataset Creator      | إنشاء Dataset          | audio-dataset           |
| 186 | Audio Label Generator      | إنشاء Labels           | audio-labels            |
| 187 | Speaker Dataset Builder    | إنشاء بيانات المتحدثين | speaker-dataset         |
| 188 | Pronunciation Checker      | فحص النطق              | pronunciation-checker   |
| 189 | Voice Similarity Checker   | مقارنة الأصوات         | voice-similarity        |
| 190 | Audio Fingerprint          | بصمة صوتية             | audio-fingerprint       |
| 191 | Duplicate Audio Finder     | كشف الملفات المكررة    | duplicate-audio         |
| 192 | Copyright Audio Checker    | فحص حقوق النشر         | copyright-audio         |
| 193 | Music Recognition          | التعرف على الموسيقى    | music-recognition       |
| 194 | Audio Quality Score        | تقييم جودة التسجيل     | audio-quality-score     |
| 195 | Meeting Minutes Generator  | إنشاء محضر اجتماع      | meeting-minutes         |
| 196 | Audio Summary AI           | تلخيص التسجيل          | audio-summary           |
| 197 | Question Extractor         | استخراج الأسئلة        | question-extractor      |
| 198 | Action Items Extractor     | استخراج المهام         | action-items            |
| 199 | Universal Audio AI Toolkit | مجموعة أدوات صوت AI    | audio-ai-toolkit        |
| 200 | Complete Audio Workspace   | بيئة عمل صوتية متكاملة | audio-workspace         |

Adawaty Master Tools Database v1.0
Part 9 — Developer Tools (001–100)

Category: Developer

📄 JSON Tools

| #   | English         | العربية          | Slug            |
| --- | --------------- | ---------------- | --------------- |
| 001 | JSON Formatter  | تنسيق JSON       | json-formatter  |
| 002 | JSON Validator  | التحقق من JSON   | json-validator  |
| 003 | JSON Beautifier | تحسين تنسيق JSON | json-beautifier |
| 004 | JSON Minifier   | ضغط JSON         | json-minifier   |
| 005 | JSON Viewer     | عارض JSON        | json-viewer     |
| 006 | JSON Editor     | محرر JSON        | json-editor     |
| 007 | JSON Compare    | مقارنة JSON      | json-compare    |
| 008 | JSON Diff       | إظهار الاختلافات | json-diff       |
| 009 | JSON Merge      | دمج JSON         | json-merge      |
| 010 | JSON Sort       | ترتيب JSON       | json-sort       |
| 011 | JSON Escape     | Escape JSON      | json-escape     |
| 012 | JSON Unescape   | Unescape JSON    | json-unescape   |
| 013 | JSON to XML     | JSON إلى XML     | json-to-xml     |
| 014 | XML to JSON     | XML إلى JSON     | xml-to-json     |
| 015 | JSON to YAML    | JSON إلى YAML    | json-to-yaml    |
| 016 | YAML to JSON    | YAML إلى JSON    | yaml-to-json    |
| 017 | JSON to CSV     | JSON إلى CSV     | json-to-csv     |
| 018 | CSV to JSON     | CSV إلى JSON     | csv-to-json     |
| 019 | JSON to Excel   | JSON إلى Excel   | json-to-excel   |
| 020 | Excel to JSON   | Excel إلى JSON   | excel-to-json   |


📄 XML Tools

| #   | English        | العربية       | Slug           |
| --- | -------------- | ------------- | -------------- |
| 021 | XML Formatter  | تنسيق XML     | xml-formatter  |
| 022 | XML Validator  | التحقق من XML | xml-validator  |
| 023 | XML Beautifier | تحسين XML     | xml-beautifier |
| 024 | XML Minifier   | ضغط XML       | xml-minifier   |
| 025 | XML Viewer     | عارض XML      | xml-viewer     |
| 026 | XML Editor     | محرر XML      | xml-editor     |
| 027 | XML Compare    | مقارنة XML    | xml-compare    |
